BOM_url,Title,Domestic_Total_Gross,Release_Date,Budget,UK_Total_Gross,Actors,Genre,Country,British,
http://www.boxofficemojo.com/movies/?id=47ronin.htm,47 Ronin,38362475,12/25/13,175000000,5282209,['Keanu Reeves'],Action,['USA'],0,
http://www.boxofficemojo.com/movies/?id=500daysofsummer.htm,,32391374,7/17/09,7500000,97037,"['Clark Gregg', 'Minka Kelly*', 'Geoffrey Arend', 'Joseph Gordon-Levitt', 'Zooey Deschanel', 'Chloe Moretz']",Romance,[],0,
http://www.boxofficemojo.com/movies/?id=50fifty.htm,50/50,35014192,9/30/11,8000000,2357318,"['Bryce Dallas Howard', 'Joseph Gordon-Levitt', 'Anna Kendrick', 'Anjelica Huston', 'Seth Rogen']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=50firstdates.htm,50 First Dates,120908074,2/13/04,75000000,13994770,"['Kevin James*', 'Adam Sandler', 'Drew Barrymore', 'Rob Schneider']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=71.htm,'71,,2/27/15,,1567094,"[""Jack O'Connell""]",Drama,['UK'],0,
http://www.boxofficemojo.com/movies/?id=88minutes.htm,88 Minutes,17213467,4/18/08,,327792,"['Al Pacino', 'Alicia Witt', 'Leelee Sobieski']",Thriller,"['USA', 'Germany', 'Canada']",0,
http://www.boxofficemojo.com/movies/?id=9.htm,9,31749894,9/9/09,30000000,770156,"['', 'Jennifer Connelly', '(Voice)', 'John C. Reilly ', 'Martin Landau ', 'Elijah Wood']",Animation,[],0,
http://www.boxofficemojo.com/movies/?id=9songs.htm,9 Songs,66853,7/22/05,,581909,"[""Kieran O'Brien"", 'Margo Stilley', 'The Dandy Warhols', 'Elbow']",Romance,['UK'],0,
http://www.boxofficemojo.com/movies/?id=abduction11.htm,Abduction,28087155,9/23/11,35000000,3668455,"['Taylor Lautner', 'Lily Collins', 'Sigourney Weaver', 'Alfred Molina', 'Elisabeth Rohm*', 'Maria Bello', 'Jason Isaacs', 'Michael Nyqvist']",Action,['USA'],1,
http://www.boxofficemojo.com/movies/?id=aboutlastnight14.htm,About Last Night,48637684,2/14/14,12500000,631550,"['Christopher McDonald', 'Michael Ealy', 'Regina Hall', 'Joy Bryant', 'Kevin Hart', 'Paula Patton']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=abouttime.htm,About Time,15322921,11/1/13,,12098359,"['Tom Hollander', 'Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy']",Comedy,['UK'],1,
http://www.boxofficemojo.com/movies/?id=abrahamlincolnvampirehunter.htm,Abraham Lincoln: Vampire Hunter,37519139,6/22/12,69000000,3870551,"['Rufus Sewell', 'Mary Elizabeth Winstead', 'Marton Csokas', 'Benjamin Walker', 'Dominic Cooper', 'Anthony Mackie']",Horror,['USA'],1,
http://www.boxofficemojo.com/movies/?id=accepted.htm,Accepted,36323505,8/18/06,23000000,1373829,"['Justin Long', 'Jonah Hill', 'Blake Lively', 'Kellan Lutz']",Comedy,['USA'],0,
http://www.boxofficemojo.com/movies/?id=accidentalhusband.htm,The Accidental Husband  - Box Office Mojo,,,,4994133,"['Jeffrey Dean Morgan', 'Colin Firth', 'Sam Shepard', 'Uma Thurman']",Comedy,[],1,
http://www.boxofficemojo.com/movies/?id=acrosstheuniverse.htm,Across the Universe,24343673,9/14/07,,131189,"['Evan Rachel Wood', 'Jim Sturgess']",Drama,"['USA', 'UK']",1,
http://www.boxofficemojo.com/movies/?id=actofvalor.htm,Act of Valor,70012847,2/24/12,12000000,837022,"['Rorke Denver', 'Dave', 'Sonny', 'Weimy']",Thriller,['USA'],0,
http://www.boxofficemojo.com/movies/?id=adam.htm,Adam,2277396,7/29/09,,110697,"['Peter Gallagher', 'Hugh Dancy', 'Amy Irving', 'Rose Byrne']",Comedy,['N/A'],1,
http://www.boxofficemojo.com/movies/?id=adjustmentbureau.htm,The Adjustment Bureau,62495645,3/4/11,50200000,8197549,"['Emily Blunt', 'Matt Damon', 'John Slattery', 'Terence Stamp', 'Anthony Mackie']",Sci-Fi,['USA'],1,
http://www.boxofficemojo.com/movies/?id=aeonflux.htm,Aeon Flux,25874337,12/2/05,62000000,1967049,"['Frances McDormand', 'Sophie Okonedo', 'Charlize Theron']",Sci-Fi,['USA'],1,
http://www.boxofficemojo.com/movies/?id=africancats.htm,African Cats,15428747,4/22/11,,99350,"['(Narrator)', 'Samuel L. Jackson*']",Documentary,['USA'],0,
http://www.boxofficemojo.com/movies/?id=afterthesunset.htm,After the Sunset,28331233,11/12/04,60000000,3323307,"['Don Cheadle', 'Woody Harrelson', 'Salma Hayek', 'Naomie Harris', 'Pierce Brosnan']",Thriller,['USA'],1,
http://www.boxofficemojo.com/movies/?id=againsttheropes.htm,Against the Ropes,5884190,2/20/04,,79781,"['Meg Ryan', 'Omar Epps']",Drama,"['USA', 'Germany']",0,
http://www.boxofficemojo.com/movies/?id=agentcodybanks2.htm,Agent Cody Banks 2: Destination London,23630159,3/12/04,26000000,1865270,['Frankie Muniz'],Adventure,['USA'],0,
http://www.boxofficemojo.com/movies/?id=aintthembodiessaints.htm,Ain't Them Bodies Saints,396519,8/16/13,,192834,"['Rooney Mara', 'Ben Foster', 'Casey Affleck']",Western,['USA'],0,
http://www.boxofficemojo.com/movies/?id=airguitarnation.htm,Air Guitar Nation,71471,3/23/07,,2759,"['Dan Crane', 'David S. Jung', 'Hadia Ackerman', 'Lance Kasten']",Documentary,['USA'],0,
http://www.boxofficemojo.com/movies/?id=airibreathe.htm,The Air I Breathe,25775,1/25/08,,7058,"['Brendan Fraser', 'Forest Whitaker', 'Julie Delpy', 'Andy Garcia', 'Sarah Michelle Gellar', 'Kevin Bacon', 'Emile Hirsch', 'Clark Gregg']",Drama,"['Mexico', 'USA']",0,
http://www.boxofficemojo.com/movies/?id=akeelahandthebee.htm,Akeelah and the Bee,18848430,4/28/06,8000000,15712,"['Angela Bassett', 'Laurence Fishburne', 'Keke Palmer']",Drama,['USA'],0,
http://www.boxofficemojo.com/movies/?id=aknightstale.htm,A Knight's Tale,56569702,5/11/01,65000000,10137404,"['Shannyn Sossamon', 'Rufus Sewell', 'Heath Ledger', 'Mark Addy', 'Paul Bettany']",Action,['USA'],1,
http://www.boxofficemojo.com/movies/?id=alamo.htm,The Alamo,22414961,4/9/04,107000000,101172,"['Patrick Wilson', 'Billy Bob Thornton', 'Dennis Quaid']",War,['USA'],0,
http://www.boxofficemojo.com/movies/?id=alanpartridge.htm,Alan Partridge: The Movie,153426,4/4/14,,9573673,['Steve Coogan'],Comedy,[],0,
http://www.boxofficemojo.com/movies/?id=albertnobbs.htm,Albert Nobbs,3014696,1/27/12,,554488,"['Brendan Gleeson', 'Glenn Close', 'Aaron Johnson', 'Janet McTier', 'Mia Wasikowska']",Drama,"['UK', 'Ireland', 'France', 'USA']",0,
http://www.boxofficemojo.com/movies/?id=alexander.htm,Alexander,34297191,11/24/04,155000000,5101579,"['Angelina Jolie', 'Jared Leto', 'Rosario Dawson', 'Jonathan Rhys Meyers', 'Val Kilmer', 'Colin Farrell', 'Anthony Hopkins']",Epic,['USA'],1,
http://www.boxofficemojo.com/movies/?id=alexanderbadday.htm,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",66954149,10/10/14,28000000,4881803,"['Dylan Minnette', 'Megan Mullally', 'Jennifer Coolidge', 'Jennifer Garner', 'Steve Carell', 'Bella Thorne']",Family,['USA'],0,
http://www.boxofficemojo.com/movies/?id=alexcross.htm,Alex Cross,25888412,10/19/12,35000000,804552,"['John C. McGinley', 'Tyler Perry', 'Rachel Nichols', 'Cicely Tyson', 'Edward Burns', 'Jean Reno', 'Matthew Fox']",Thriller,"['USA', 'France']",0,
http://www.boxofficemojo.com/movies/?id=alfie.htm,Alfie,13399812,11/5/04,60000000,8482213,"['Nia Long', 'Marisa Tomei', 'Omar Epps', 'Susan Sarandon', 'Jude Law']",Comedy,"['UK', 'USA']",1,
http://www.boxofficemojo.com/movies/?id=alicecreed.htm,The Disappearance of Alice Creed,166980,8/6/10,,217478,['Gemma Arterton'],Thriller,['UK'],0,
http://www.boxofficemojo.com/movies/?id=aliceinwonderland10.htm,Alice in Wonderland,334191110,3/5/10,200000000,64437055,"['Timothy Spall ', 'Michael Sheen', 'Helena Bonham Carter', '(Voice)', 'Crispin Glover', 'Johnny Depp', 'Anne Hathaway', 'Alan Rickman', 'Mia Wasikowska']",Adventure,['USA'],1,
http://www.boxofficemojo.com/movies/?id=aliensofthedeep.htm,Aliens of the Deep,8968684,1/28/05,,1190781,"['Anatoly M. Sagalevitch', 'Genya Chernaiev', 'Victor Nischeta', 'Pamela Conrad']",IMAX,['USA'],0,
