Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Genre,Budget
Anything Else,3212310,263272,"Christina Ricci, Woody Allen, Danny DeVito","USA, France, UK",0,Comedy,18000000
Apocalypto,50866635,8074135,"uRudy Youngblood, u Dalia Hern\xe1ndez, u Jonathan Brewer, u Morris Birdyellowhead",USA,0,Adventure,40000000
Apollo 18,17687709,1715859,"Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa","USA, Canada",0,Thriller,5000000
Aquamarine,18597342,438680,Emma Roberts,"USA, Australia",0,Comedy,12000000
Arbitrage,7919574,2155376,"Tim Roth, Richard Gere, Susan Sarandon, Brit Marling","USA, Poland",1,Drama,
Are We There Yet?,82674398,5811439,"Ice Cube, (Voice), Nia Long, Tracy Morgan*","USA, Canada",0,Comedy,32000000
Argo,136025503,12166424,"Chris Messina*, Kyle Chandler*, Ben Affleck, Alan Arkin, John Goodman, Bryan Cranston",USA,0,Drama,44500000
Around the World in 80 Days,24008137,7719618,"Arnold Schwarzenegger*, Kathy Bates, Will Forte*, Owen Wilson*, Jackie Chan, Jim Broadbent, Rob Schneider*, Cecile de France, Steve Coogan, Luke Wilson*, (Cameo)","USA, Germany, Ireland, UK",1,Adventure,110000000
Arthur,33035397,5414235,"Luis Guzman, Greta Gerwig, Jennifer Garner, Helen Mirren, Russell Brand, Nick Nolte",USA,1,Comedy,40000000
As Above/So Below,21321100,1600382,"uPerdita Weeks, u Ben Feldman, u Edwin Hodge, u Fran\xe7ois Civil",USA,0,Thriller,
Assault on Precinct 13,20040895,3795067,"Ethan Hawke, John Leguizamo, Laurence Fishburne, Brian Dennehy, Maria Bello, Gabriel Byrne","USA, France",0,Action,30000000
August Rush,31664162,1563734,"Robin Williams, Keri Russell, Freddie Highmore, Jonathan Rhys Meyers, Terrence Howard",USA,1,Drama,
August: Osage County,37738810,3167227,"Ewan McGregor, Benedict Cumberbatch, Juliette Lewis, Meryl Streep, Abigail Breslin, Chris Cooper, Julianne Nicholson, Julia Roberts, Dermot Mulroney",USA,1,Comedy,
Avatar,749766139,150025197,"Sam Worthington, Giovanni Ribisi, Michelle Rodriguez, Joel David Moore, Sigourney Weaver, Zoe Saldana","USA, UK",0,Adventure,
Awake,14377198,3105437,"Hayden Christensen, Jessica Alba, Lena Olin, Terrence Howard",USA,0,Thriller,8600000
BRATZ,10010209,8003569,"Skyler Shaye, Chelsea Staub, Jon Voight, Lainie Kazan, Nathalia Ramos, Logan Browning, Janel Parrish",USA,0,Comedy,
Baby Mama,60494212,764573,"Maura Tierney, Steve Martin, Tina Fey, Greg Kinnear, Amy Poehler, Will Forte, Sigourney Weaver, Dax Shepard",USA,0,Comedy,30000000
Bad Boys II,138608444,14920239,"Martin Lawrence, Will Smith",USA,0,Action,130000000
Bad Lieutenant: Port of Call New Orleans,1702112,770020,"Nicolas Cage, Eva Mendes, Val Kilmer",USA,0,Drama,25000000
Bad Santa,60060328,4751324,"Billy Bob Thornton, Bernie Mac","USA, Germany",0,Comedy,23000000
Bad Teacher,100292856,12575607,"Justin Timberlake, Jason Segel, Cameron Diaz",USA,0,Comedy,20000000
Baggage Claim,21569509,773389,"Boris Kodjoe, Djimon Hounsou, Taye Diggs, Derek Luke, Adam Brody, Paula Patton",USA,0,Comedy,
Ballets Russes,815848,261752,"Irina Baronova, Kenneth Kynt Bryan, Yvonne Chouteau, Yvonne Craig",USA,0,Documentary,
Balls of Fury,32886940,4425910,"Dan Fogler, Christopher Walken, George Lopez, Maggie Q",USA,0,Comedy,
Bandslam,5210988,2543431,"Lisa Kudrow, Vanessa Hudgens, Alyson Michalka, David Bowie",USA,1,Comedy,
Bangkok Dangerous,15298133,1300139,Nicolas Cage,USA,0,Action,45000000
Basic,26793311,994736,"Samuel L. Jackson, John Travolta, Giovanni Ribisi","USA, Germany",0,Thriller,
Batman Begins,205343774,30042288,"Ken Watanabe, Gary Oldman, Rutger Hauer*, Katie Holmes, Christian Bale, Cillian Murphy, Morgan Freeman, Linus Roache*, Michael Caine, Liam Neeson, Tom Wilkinson*","USA, UK",1,Action,150000000
Battle: Los Angeles,83552429,7792937,"Bridget Moynahan, Ne-Yo, Michael Pena, Michelle Rodriguez, Joey King*, Ramon Rodriguez, Aaron Eckhart",USA,0,Action,70000000
Battleship,65422625,12216671,"Taylor Kitsch, Rihanna, Liam Neeson, Brooklyn Decker",USA,1,Action,209000000
Be Cool,56046979,7978177,"The Rock, John Travolta, Vince Vaughn, Danny DeVito, Andre Benjamin, Cedric the Entertainer, Uma Thurman",USA,0,Comedy,53000000
