,Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Budget,Genres
47,Brave,237283207.0,34789692,", Craig Ferguson , (Voice), Julie Walters , Kelly Macdonald , Emma Thompson",USA,1,185000000.0,Animation
48,Megamind,148415853.0,16048975,", David Cross , Tom McGrath*, Will Ferrell, Brad Pitt, Tina Fey, J.K. Simmons* , (Voice), Ben Stiller*, Jonah Hill",USA,0,130000000.0,Animation
49,Alpha and Omega,25107267.0,4770519,", Dennis Hopper ,  , Christina Ricci, (Voice), Hayden Panettiere, Justin Long","USA, India",0,,Animation
50,Hotel Transylvania,148313048.0,265516,", Fran Drescher , Adam Sandler,  , Andy Samberg, (Voice), Kevin James, Molly Shannon* , Selena Gomez",USA,0,85000000.0,Animation
51,The Book of Life,50151543.0,9103293,", Ice Cube, Cheech Marin , (Voice), Diego Luna, Christina Applegate, Ron Perlman , Channing Tatum, Zoe Saldana",USA,0,50000000.0,Animation
52,Spy Kids: All the Time in the World,38538188.0,6889008,", Jessica Alba, Ricky Gervais , Antonio Banderas",USA,0,27000000.0,Adventure
53,Bolt,114053579.0,26755584,", John Travolta, Nick Swardson, Malcolm McDowell , (Voice), Susie Essman , Miley Cyrus, Chloe Moretz*",USA,0,150000000.0,Animation
54,Legends of Oz: Dorothy's Return,8462027.0,576044,", Lea Michele , James Belushi , Kelsey Grammer, (Voice), Oliver Platt ","USA, India",0,70000000.0,Animation
55,Open Season,85105259.0,14066549,", Martin Lawrence, (Voice), Jon Favreau*, Debra Messing , Ashton Kutcher",USA,0,85000000.0,Animation
56,The Croods,187168425.0,43146580,", Nicolas Cage, (Voice), Catherine Keener , Emma Stone, Clark Duke, Ryan Reynolds",USA,0,135000000.0,Animation
57,Beverly Hills Chihuahua,94514402.0,5497724,", Piper Perabo, Jamie Lee Curtis,  , (Voice), Andy Garcia* ",USA,0,,Comedy
58,Beauty Shop,36351350.0,723915,"(Cameo), Ice Cube*, Kevin Bacon, Queen Latifah, Alicia Silverstone",USA,0,,Comedy
59,Nancy Drew,25612520.0,1744531,"(Cameo), Max Thieriot, Rachael Leigh Cook, Laura Elena Harring, Barry Bostwick, Adam Goldberg* , Bruce Willis*, Emma Roberts, Tate Donovan",USA,0,,Adventure
60,Deuce Bigalow: European Gigolo,22400154.0,1501705,"(Cameo), Rob Schneider, Adam Sandler*, Eddie Griffin",USA,0,22000000.0,Comedy
61,Kill Bill Vol. 2,66208183.0,16871657,"(Cameo), Samuel L. Jackson*, Uma Thurman",USA,0,30000000.0,Action
62,Anchorman: The Legend of Ron Burgundy,85288303.0,2974968,"(Cameo), Will Ferrell, Tim Robbins*, Ben Stiller*, Christina Applegate, Paul Rudd, Steve Carell, Jack Black*, Luke Wilson*, Seth Rogen*, Vince Vaughn*",USA,0,26000000.0,Comedy
63,Semi-Pro,33479698.0,4178812,"(Cameo), Will Ferrell, Woody Harrelson, Ed Helms*, Jackie Earle Haley, Andre Benjamin, Jason Sudeikis*, Kristen Wiig*",USA,0,,Comedy
64,Under the Sea 3D,35916045.0,345798,"(Narrator), Jim Carrey*","USA, Canada",0,,IMAX
65,Space Chimps,30105968.0,7286700,"(Voice), Andy Samberg",USA,0,37000000.0,Animation
66,The Chronicles of Narnia: Prince Caspian,141621490.0,21581030,"(Voice), Ben Barnes, Liam Neeson*","USA, Poland, Slovenia, Czech Republic",1,225000000.0,Fantasy
67,The Emperor's New Groove,89302687.0,13303088,"(Voice), David Spade*",USA,0,100000000.0,Animation
68,Chicken Little,135386665.0,23557158,"(Voice), Garry Marshall*, Zach Braff*, Patrick Stewart*",USA,0,150000000.0,Animation
69,Eragon,75030163.0,11027251,"(Voice), Jeremy Irons, Djimon Hounsou, Rachel Weisz*, Robert Carlyle, Garrett Hedlund, Sienna Guillory, John Malkovich","USA, UK, Hungary",1,100000000.0,Fantasy
70,Brother Bear,85336277.0,10612646,"(Voice), Joaquin Phoenix*, Michael Clarke Duncan*",USA,0,,Animation
71,Teenage Mutant Ninja Turtles,191204754.0,21569311,"(Voice), Johnny Knoxville, William Fichtner, Will Arnett, Whoopi Goldberg, Megan Fox",USA,0,125000000.0,Action
72,Good Boy!,37667746.0,1343709,"(Voice), Matthew Broderick*",USA,0,18000000.0,Comedy
73,The SpongeBob SquarePants Movie,85417988.0,10631811,"(Voice), Scarlett Johansson*, Alec Baldwin*",USA,0,30000000.0,Animation
74,Get Rich or Die Tryin',30985352.0,3699933,"50 Cent, Viola Davis, Terrence Howard","USA, Canada",0,40000000.0,Drama
75,The Illusionist,39868642.0,4298088,"Aaron Johnson*, Rufus Sewell, Edward Norton, Jessica Biel, Paul Giamatti","USA, Czech Republic",1,17000000.0,Animation
76,The Illusionist,39868642.0,4298088,"Aaron Johnson*, Rufus Sewell, Edward Norton, Jessica Biel, Paul Giamatti","USA, Czech Republic",1,17000000.0,Drama
77,The Illusionist,39868642.0,4298088,"Aaron Johnson*, Rufus Sewell, Edward Norton, Jessica Biel, Paul Giamatti","USA, Czech Republic",1,16500000.0,Animation
78,The Illusionist,39868642.0,4298088,"Aaron Johnson*, Rufus Sewell, Edward Norton, Jessica Biel, Paul Giamatti","USA, Czech Republic",1,16500000.0,Drama
79,The Illusionist,2231474.0,1417299,"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell","USA, Czech Republic",1,17000000.0,Animation
80,The Illusionist,2231474.0,1417299,"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell","USA, Czech Republic",1,17000000.0,Drama
81,The Illusionist,2231474.0,1417299,"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell","USA, Czech Republic",1,16500000.0,Animation
82,The Illusionist,2231474.0,1417299,"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell","USA, Czech Republic",1,16500000.0,Drama
83,Need for Speed,43577636.0,8138409,"Aaron Paul, Michael Keaton, Imogen Poots, Scott Mescudi, Dakota Johnson, Dominic Cooper","USA, Philippines, Ireland, UK",1,66000000.0,Action
84,The Longest Yard,158119460.0,8282250,"Adam Sandler, Chris Rock, Tracy Morgan*, Rob Schneider*, Burt Reynolds, (Cameo)",USA,0,82000000.0,Comedy
85,That's My Boy,36931089.0,876442,"Adam Sandler, James Caan, Susan Sarandon, Andy Samberg, Milo Ventimiglia, Vanilla Ice, Leighton Meester",USA,0,70000000.0,Comedy
86,Click,137355633.0,15086867,"Adam Sandler, Kate Beckinsale, Jonah Hill*, Katie Cassidy*, Rob Schneider*, Christopher Walken, Nick Swardson*, (Cameo)",USA,1,82500000.0,Comedy
87,Bedtime Stories,110101975.0,12886242,"Adam Sandler, Richard Griffiths, Teresa Palmer, Allen Covert*, Keri Russell, Courteney Cox, Russell Brand, Guy Pearce, Nick Swardson*",USA,1,80000000.0,Adventure
88,You Don't Mess with the Zohan,100018837.0,10481344,"Adam Sandler, Rob Schneider, Nick Swardson, Emmanuelle Chriqui, John Turturro",USA,0,90000000.0,Comedy
89,Anger Management,135645823.0,9594802,"Adam Sandler, Woody Harrelson*, John Turturro*, Luis Guzman, Marisa Tomei, Jack Nicholson, January Jones*",USA,0,75000000.0,Comedy
90,The Matador,12594698.0,1511538,"Adam Scott, Greg Kinnear, Pierce Brosnan","USA, Germany, Ireland",0,12500000.0,Comedy
91,Knocked Up,148768917.0,16555361,"Adam Scott*, Jason Segel, Steve Carell*, Kristen Wiig, (Cameo), James Franco*, Jay Baruchel, Harold Ramis*, Jonah Hill, Paul Rudd, Leslie Mann, Katherine Heigl, Seth Rogen",USA,0,30000000.0,Comedy
92,The Fog,29550869.0,861502,"Adrienne Barbeau, Jamie Lee Curtis, Janet Leigh, John Houseman",USA,0,18000000.0,Horror
93,Blood and Chocolate,3526847.0,290058,"Agnes Bruckner, Hugh Dancy, Olivier Martinez, Katja Riemann","USA, UK, Germany, Romania",1,,Horror
94,An Inconvenient Truth,24146161.0,1772420,"Al Gore, Billy West",USA,0,,Documentary
95,Jack and Jill,74158157.0,5185578,"Al Pacino, Adam Sandler, Nick Swardson, Katie Holmes, Allen Covert, Norm MacDonald*, David Spade*",USA,0,79000000.0,Comedy
96,88 Minutes,17213467.0,327792,"Al Pacino, Alicia Witt, Leelee Sobieski","USA, Germany, Canada",0,,Thriller
97,Two for the Money,22991379.0,614467,"Al Pacino, Matthew McConaughey, Rene Russo",USA,0,35000000.0,Drama
